# qwen35moe (Qwen3.6-35B-A3B-Q4_K_M) per-layer oracle fingerprints
# prompt tokens: 785 3974 13876 38835 35308 916 ; last-token column; sum/absum/v0..v2
# from llama.cpp g35moe_oracle_dbg (cb_eval). Stage-2a localization targets (relative, not bit-exact: oracle Q4 vs SP f32).

ORC ffn_moe_out-18     ne=[2048,6] sum=0.05335 absum=11.81113 v0=0.001900 v1=-0.017924 v2=-0.000243
ORC ffn_out-18         ne=[2048,6] sum=-0.59307 absum=14.27076 v0=0.001520 v1=-0.018875 v2=0.000207
ORC l_out-18           ne=[2048,6] sum=-1.69829 absum=82.02249 v0=-0.054645 v1=-0.025755 v2=-0.027961
ORC attn_gated-19      ne=[4096,6] sum=-2.88677 absum=25.92708 v0=0.007120 v1=-0.002509 v2=0.012169
ORC attn_output-19     ne=[2048,6] sum=0.86043 absum=11.93814 v0=-0.004230 v1=0.002481 v2=0.005965
ORC ffn_moe_out-19     ne=[2048,6] sum=-0.25442 absum=10.94274 v0=-0.007233 v1=0.004359 v2=0.009499
ORC ffn_out-19         ne=[2048,6] sum=-0.96278 absum=13.26208 v0=-0.009357 v1=0.006418 v2=0.014357
ORC l_out-19           ne=[2048,6] sum=-1.80064 absum=83.65550 v0=-0.068232 v1=-0.016857 v2=-0.007639
ORC conv_output_silu-20 ne=[8192,6] sum=55.53515 absum=462.38374 v0=-0.131680 v1=-0.005133 v2=-0.003896
ORC attn_output-20     ne=[128,32] sum=-0.00021 absum=0.00171 v0=-0.000019 v1=-0.000001 v2=-0.000018
ORC final_output-20    ne=[4096,6] sum=0.11599 absum=22.26473 v0=-0.001133 v1=-0.001458 v2=-0.000688
ORC linear_attn_out-20 ne=[2048,6] sum=-0.05607 absum=16.78293 v0=-0.008514 v1=0.003120 v2=0.001165
ORC linear_attn_out-20 (reshaped) ne=[2048,6] sum=-0.05607 absum=16.78293 v0=-0.008514 v1=0.003120 v2=0.001165
ORC ffn_moe_out-20     ne=[2048,6] sum=-0.23114 absum=15.50382 v0=-0.021291 v1=-0.002270 v2=-0.004341
ORC ffn_out-20         ne=[2048,6] sum=-0.34582 absum=17.39170 v0=-0.008149 v1=-0.000139 v2=-0.009674
ORC l_out-20           ne=[2048,6] sum=-2.20254 absum=85.49568 v0=-0.084896 v1=-0.013876 v2=-0.016147
ORC conv_output_silu-21 ne=[8192,6] sum=78.08740 absum=347.93108 v0=-0.006119 v1=0.010118 v2=0.018127
ORC attn_output-21     ne=[128,32] sum=0.00062 absum=0.00081 v0=0.000001 v1=-0.000002 v2=0.000001
ORC final_output-21    ne=[4096,6] sum=-1.50240 absum=24.88569 v0=-0.000309 v1=-0.003122 v2=0.000284
ORC linear_attn_out-21 ne=[2048,6] sum=0.20612 absum=17.60050 v0=0.021753 v1=0.016284 v2=0.003552
ORC linear_attn_out-21 (reshaped) ne=[2048,6] sum=0.20612 absum=17.60050 v0=0.021753 v1=0.016284 v2=0.003552
ORC ffn_moe_out-21     ne=[2048,6] sum=0.60218 absum=21.20902 v0=0.011855 v1=0.001442 v2=-0.013969
ORC ffn_out-21         ne=[2048,6] sum=1.06834 absum=24.45537 v0=0.022275 v1=0.004375 v2=-0.020365
ORC l_out-21           ne=[2048,6] sum=-0.92808 absum=88.86803 v0=-0.040868 v1=0.006783 v2=-0.032960
ORC conv_output_silu-22 ne=[8192,6] sum=47.97438 absum=295.86216 v0=0.001602 v1=-0.029443 v2=0.087162
ORC attn_output-22     ne=[128,32] sum=0.00050 absum=0.00057 v0=0.000000 v1=0.000000 v2=0.000006
ORC final_output-22    ne=[4096,6] sum=0.46252 absum=37.41218 v0=0.023862 v1=0.000099 v2=-0.016521
ORC linear_attn_out-22 ne=[2048,6] sum=0.07927 absum=25.61242 v0=0.013515 v1=0.001668 v2=-0.013160
ORC linear_attn_out-22 (reshaped) ne=[2048,6] sum=0.07927 absum=25.61242 v0=0.013515 v1=0.001668 v2=-0.013160
ORC ffn_moe_out-22     ne=[2048,6] sum=-0.47839 absum=11.73962 v0=-0.010517 v1=0.001571 v2=-0.008906
ORC ffn_out-22         ne=[2048,6] sum=-1.55012 absum=16.56443 v0=-0.005250 v1=0.007738 v2=-0.003683
ORC l_out-22           ne=[2048,6] sum=-2.39893 absum=93.28967 v0=-0.032603 v1=0.016189 v2=-0.049804
ORC attn_gated-23      ne=[4096,6] sum=-2.62095 absum=34.50996 v0=0.002331 v1=0.002983 v2=-0.006892
ORC attn_output-23     ne=[2048,6] sum=1.54541 absum=17.26972 v0=-0.008564 v1=0.002724 v2=0.012899
ORC ffn_moe_out-23     ne=[2048,6] sum=0.12487 absum=15.86922 v0=0.000599 v1=-0.009989 v2=-0.009996
ORC ffn_out-23         ne=[2048,6] sum=-0.22886 absum=18.04548 v0=0.003266 v1=-0.009654 v2=-0.008576
ORC l_out-23           ne=[2048,6] sum=-1.08238 absum=94.45242 v0=-0.037901 v1=0.009259 v2=-0.045480
